elapsed_ms	dataset_ms	plan_ms	query_pipeline_ms	outcome	plan_lines	sql_bytes	case	query	source_log
5093	4801			matched	10	230	cases/cypher/ladybug/copy/copy_snap_amazon0601_parquet/0001_CopySNAPAmazon0601Parquet_6df804828c06.case	MATCH (a:account) RETURN COUNT(*)	/tmp/graph-conformance-before.log
3451	3292			lower_error	10	0	cases/cypher/ladybug/ddl/sequence/0066_AddPropertySequence_ad101a98f0bf.case	MATCH (c:Comment) RETURN SUM(c.propx)	/tmp/graph-conformance-before.log
2951	2542		259	mismatch	12	2779	cases/cypher/ladybug/agg/hash_ldbc/0001_TestAggregateListsWithNulls_867ced365bf1.case	MATCH (p:Post) RETURN [p.language], [p.language, p.content], COUNT(p) as n ORDER BY n DESC LIMIT 5	/tmp/graph-conformance-before.log
2626	909		1587	execution_error	30	9271	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0007_q7_477e7f716a1d.case	MATCH (:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)-[:Post_hasCreator_Person|:Comment_hasCreator_Person]->(creator:Person) OPTIONAL MATCH (message)<-[:Person_likes_Comment|:Person_likes_Post]-(liker:Person) OPTIONAL MATCH (message)<-[:Comment_replyOf_Comment|:Comment_replyOf_Post]-(comment:Comment) RETURN count(*) AS count	/tmp/graph-conformance-before.log
2437	2285			matched	10	230	cases/cypher/ladybug/copy/copy_snap_twitter_parquet/0001_CopySNAPTwitterParquet_9c5eb09d9c5e.case	MATCH (a:account) RETURN COUNT(*)	/tmp/graph-conformance-before.log
2255	422		1631	matched	17	5721	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0001_q1_74a83b85113a.case	MATCH (:Country)<-[:City_isPartOf_Country]-(:City)<-[:Person_isLocatedIn_City]-(:Person)<-[:Forum_hasMember_Person]-(:Forum)-[:Forum_containerOf_Post]->(:Post)<-[Comment_replyOf_Post]-(:Comment)-[:Comment_hasTag_Tag]->(:Tag)-[:Tag_hasType_TagClass]->(:TagClass) RETURN count(*) as count	/tmp/graph-conformance-before.log
1962	408		1437	execution_error	30	9271	cases/cypher/ladybug/lsqb/lsqb_queries/0007_q7_e2077f0cf712.case	MATCH (:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)-[:Post_hasCreator_Person|:Comment_hasCreator_Person]->(creator:Person) OPTIONAL MATCH (message)<-[:Person_likes_Comment|:Person_likes_Post]-(liker:Person) OPTIONAL MATCH (message)<-[:Comment_replyOf_Comment|:Comment_replyOf_Post]-(comment:Comment) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1940	398		1387	matched	17	5721	cases/cypher/ladybug/lsqb/lsqb_queries/0001_q1_6587275a87ca.case	MATCH (:Country)<-[:City_isPartOf_Country]-(:City)<-[:Person_isLocatedIn_City]-(:Person)<-[:Forum_hasMember_Person]-(:Forum)-[:Forum_containerOf_Post]->(:Post)<-[Comment_replyOf_Post]-(:Comment)-[:Comment_hasTag_Tag]->(:Tag)-[:Tag_hasType_TagClass]->(:TagClass) RETURN count(*) as count	/tmp/graph-conformance-before.log
1920	585		1178	matched	22	3604	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0004_q4_239ac9101da7.case	MATCH (:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)-[:Post_hasCreator_Person|:Comment_hasCreator_Person]->(creator:Person), (message)<-[:Person_likes_Comment|:Person_likes_Post]-(liker:Person), (message)<-[:Comment_replyOf_Comment|:Comment_replyOf_Post]-(comment:Comment) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1839	930		776	matched	18	3183	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0002_q2_2c8546832db5.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person), (person1)<-[:Comment_hasCreator_Person]-(comment:Comment)-[:Comment_replyOf_Post]->(Post:Post)-[:Post_hasCreator_Person]->(person2) RETURN count(*) AS count	/tmp/graph-conformance-before.log
