elapsed_ms	dataset_ms	plan_ms	query_pipeline_ms	outcome	plan_lines	sql_bytes	case	query	source_log
14814			14804	matched	17	5721	cases/cypher/ladybug/lsqb/lsqb_queries/0001_q1_6587275a87ca.case	MATCH (:Country)<-[:City_isPartOf_Country]-(:City)<-[:Person_isLocatedIn_City]-(:Person)<-[:Forum_hasMember_Person]-(:Forum)-[:Forum_containerOf_Post]->(:Post)<-[Comment_replyOf_Post]-(:Comment)-[:Comment_hasTag_Tag]->(:Tag)-[:Tag_hasType_TagClass]->(:TagClass) RETURN count(*) as count	/tmp/graph-conformance-after.log
13423			13420	matched	25	35917	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0002_IS2_3bc9115b5c08.case	MATCH (:Person {id: 21990232555803})<-[:Post_hasCreator|:Comment_hasCreator]-(message) WITH message,message.id AS messageId, message.creationDate AS messageCreationDate ORDER BY messageCreationDate DESC, messageId ASC LIMIT 10 MATCH (message)-[:replyOf_Post|:replyOf_Comment*1..2]->(post:Post), (post)-[:Post_hasCreator]->(person) RETURN messageId, CASE WHEN message.imageFile is NULL THEN message.content ELSE message.imageFile END AS messageContent, messageCreationDate, post.id AS postId, person.id AS personId, person.firstName AS personFirstName, person.lastName AS personLastName ORDER BY messageCreationDate DESC, messageId ASC	/tmp/graph-conformance-after.log
9312			9306	matched	13	20487	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0006_IS6_3cdefb385f44.case	MATCH (m:Comment {id: 962072675825 })-[:replyOf_Post|:replyOf_Comment*1..2]->(p:Post)<-[:containerOf]-(f:Forum)-[:hasModerator]->(mod:Person) RETURN f.id AS forumId,f.title AS forumTitle,mod.id AS moderatorId,mod.firstName AS moderatorFirstName, mod.lastName AS moderatorLastName	/tmp/graph-conformance-after.log
8045			8040	matched	15	3525	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_complex/0005_IC8_cb7a36eddf28.case	MATCH (start:Person {id: 15393162789560})<-[:Post_hasCreator|:Comment_hasCreator]-(:Post:Comment)<-[:replyOf_Comment|:replyOf_Post]-(comment:Comment)-[:Comment_hasCreator]->(person:Person) RETURN person.id AS personId, person.firstName AS personFirstName, person.lastName AS personLastName, comment.creationDate AS commentCreationDate, comment.id AS commentId, comment.content AS commentContent ORDER BY commentCreationDate DESC, commentId ASC LIMIT 20	/tmp/graph-conformance-after.log
7993			7983	matched	25	35917	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0002_IS2_c4c9165f12b5.case	MATCH (:Person {id: 21990232555803})<-[:Post_hasCreator|:Comment_hasCreator]-(message) WITH message,message.id AS messageId, message.creationDate AS messageCreationDate ORDER BY messageCreationDate DESC, messageId ASC LIMIT 10 MATCH (message)-[:replyOf_Post|:replyOf_Comment*1..2]->(post:Post), (post)-[:Post_hasCreator]->(person) RETURN messageId, CASE WHEN message.imageFile is NULL THEN message.content ELSE message.imageFile END AS messageContent, messageCreationDate, post.id AS postId, person.id AS personId, person.firstName AS personFirstName, person.lastName AS personLastName ORDER BY messageCreationDate DESC, messageId ASC	/tmp/graph-conformance-after.log
7650	7575			matched	10	230	cases/cypher/ladybug/copy/copy_snap_amazon0601_parquet/0001_CopySNAPAmazon0601Parquet_6df804828c06.case	MATCH (a:account) RETURN COUNT(*)	/tmp/graph-conformance-after.log
7082	6594		483	mismatch	12	2779	cases/cypher/ladybug/agg/hash_ldbc/0001_TestAggregateListsWithNulls_867ced365bf1.case	MATCH (p:Post) RETURN [p.language], [p.language, p.content], COUNT(p) as n ORDER BY n DESC LIMIT 5	/tmp/graph-conformance-after.log
6552			6522	matched	13	20487	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0006_IS6_700062efc365.case	MATCH (m:Comment {id: 962072675825 })-[:replyOf_Post|:replyOf_Comment*1..2]->(p:Post)<-[:containerOf]-(f:Forum)-[:hasModerator]->(mod:Person) RETURN f.id AS forumId,f.title AS forumTitle,mod.id AS moderatorId,mod.firstName AS moderatorFirstName, mod.lastName AS moderatorLastName	/tmp/graph-conformance-after.log
4784			4709	mismatch	26	26760	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_complex/0006_IC11_4f8bd60e77c6.case	"MATCH (person:Person {id: 13194139534668 })-[:knows*1..2]-(friend:Person) WHERE NOT person.id=friend.id WITH DISTINCT friend MATCH (friend)-[workAt:workAt]->(company:Organisation {label: ""Company""})-[:Organisation_isLocatedIn]->(:Place {name: ""Hungary"", label: ""Country"" }) WHERE workAt.workFrom < 2011 RETURN friend.id AS personId, friend.firstName AS personFirstName, friend.lastName AS personLastName, company.name AS organizationName, workAt.workFrom AS organizationWorkFromYear ORDER BY organizationWorkFromYear ASC, personId ASC, organizationName DESC LIMIT 10"	/tmp/graph-conformance-after.log
4711			4701	matched	22	10017	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0007_IS7_5004fc4c497c.case	MATCH (m:Post:Comment {id: 962072971887})<-[:replyOf_Comment|:replyOf_Post]-(c:Comment)-[:Comment_hasCreator]->(p:Person) OPTIONAL MATCH (m)-[:Comment_hasCreator|:Post_hasCreator]->(a:Person)-[r:knows]-(p) RETURN c.id AS commentId, c.content AS commentContent, c.creationDate AS commentCreationDate, p.id AS replyAuthorId, p.firstName AS replyAuthorFirstName, p.lastName AS replyAuthorLastName, CASE WHEN ID(r) IS NULL THEN False ELSE True END AS replyAuthorKnowsOriginalMessageAuthor	/tmp/graph-conformance-after.log
